sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable
037-DeseretIndust-6.4.24-Jim-307	X0049MGS4X	1555178014	Tower of Air (Jimmy Fincher Saga)	UsedGood	8.49	No		Yes	1	1	0	0	1	0.02	0	0	0	0	0	0
037-DeseretIndust-7.12.24-Jim-533	X004BI3YD3	0063054159	Vita Nostra: A Novel (Vita Nostra, 1)	UsedGood	12.95	No		Yes	0	0	0	0	0	0.03	0	0	0	0	0	0
037-DeseretIndust-7.25.24-Jim-712	X004C26W19	0998437328	Classical Conversations Latin Workspace B	UsedAcceptable	17.97	No		Yes	0	0	0	0	3	0.05	3	0	0	0	0	0
037-DeseretIndust-8.19.24-Jim-752	X004D4VDVP	0063235420	Really Good, Actually: A Novel	UsedGood	10.99	No		Yes	0	0	0	0	0	0.02	0	0	0	0	0	0
037-NPS-5.21.24-Jim-752	X00490SQT5	0809105268	Madeleine Sophie Barat: A Life	UsedGood	31.46	No		Yes	1	1	0	0	1	0.05	0	0	0	0	0	0
037-NPS-6.1.24-Jim-946	X0049IB4AZ	0140253009	Travels and Other Writings (Classic, Nature, Penguin)	UsedAcceptable	43.07	No		Yes	1	1	0	0	1	0.02	0	0	0	0	0	0
038-DeseretIndust-6.4.24-Jim-992	X0049MJHNH	0916764206	Nutrition and Physical Degeneration	UsedGood	23.81	No		Yes	0	0	0	0	0	0.04	0	0	0	0	0	0
038-DeseretIndust-7.12.24-Jim-759	X004BI3YDN	165179605X	Daughter Of Paris: The Diary of Marie Duplessis, France�s Most Celebrated Courtesan (Biographical Novels)	UsedGood	15.29	No		Yes	1	1	0	0	1	0.02	0	0	0	0	0	0
038-DeseretIndust-7.25.24-Jim-757	X004C26W1T	0996566023	Henle Latin Workspace A	UsedAcceptable	26.93	No		Yes	0	0	0	0	3	0.04	3	0	0	0	0	0
038-DeseretIndust-8.19.24-Jim-957	X004D4ST99	1879628333	Legendary Lake Pend Oreille	UsedGood	19.94	No		Yes	1	1	0	0	1	0.04	0	0	0	0	0	0
